Price,Close,High,Low,Open,Volume,MA_short,MA_long,signal,return,strategy_return,equity_curve,buy_hold_curve,trade,cost,net_strategy_return,net_equity_curve
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,
2021-02-18,937.5598754882812,956.0145057624479,933.6603325517267,945.4042372455169,18646877,896.1060028076172,895.2814306640626,1,-0.007464219464076494,-0.0,1.0,0.9925357805359235,,,,
2021-02-19,943.2730712890625,954.4501576444582,931.030412526974,932.7081388605912,23403483,895.6729797363281,895.7652429199219,0,0.006093686334225579,0.006093686334225579,1.0060936863342256,0.9985839822580052,1.0,0.0005,0.005593686334225578,1.0055936863342256
2021-02-22,910.5353393554688,947.6260636331054,904.5727752104599,943.1370946035589,23804335,894.7321105957031,895.7752197265625,0,-0.034706526593465514,-0.0,1.0060936863342256,0.963926600721959,0.0,0.0,-0.0,1.0055936863342256
2021-02-23,917.4954223632812,930.848988222682,913.029121794404,928.6271719000512,25644108,896.6013763427734,895.9352795410156,1,0.007643946046881789,0.0,1.0060936863342256,0.9712948036510318,1.0,0.0005,-0.0005,1.0050908894910586
2021-02-24,934.5219116210938,936.4489852163127,918.7197882041789,920.46551838717,10807663,900.364859008789,896.5673645019531,1,0.01855757406827796,0.01855757406827796,1.0247643444379997,0.9893196789119193,0.0,0.0,0.01855757406827796,1.0237429381181404
2021-02-25,972.3153076171875,975.7840397521635,939.9629623775807,941.3232777095965,34855693,906.4363006591797,898.1090307617187,1,0.040441423070042726,0.040441423070042726,1.066207272838512,1.029329174598315,0.0,0.0,0.040441423070042726,1.0651445593935447
2021-02-26,945.7669067382812,967.576928004242,938.9200542247918,959.9139702500598,37481215,911.9647583007812,899.0997790527343,1,-0.027304312367525396,-0.027304312367525396,1.0370952164124019,1.0012240492860756,0.0,0.0,-0.027304312367525396,1.036061519627293
2021-03-01,952.9765014648438,957.6468737146039,935.2019693603648,956.8306484903325,17680764,916.6441711425781,900.1526477050782,1,0.007623014376160198,0.007623014376160198,1.0450010081565606,1.0088563946075406,0.0,0.0,0.007623014376160198,1.0439594314859983
2021-03-02,954.9261474609375,965.8084897149365,947.263190026968,962.1810822756376,17150760,920.7295806884765,901.1905517578125,1,0.002045848972243247,0.002045848972243247,1.0471389223950909,1.0109203624255896,0.0,0.0,0.002045848972243247,1.0460952148159677
2021-03-03,998.5009765625,1006.572077071357,955.4703590572257,961.750393670414,31924461,926.8837738037109,903.5701599121094,1,0.04563162210755678,0.04563162210755678,1.0949215699959378,1.0570502983846284,0.0,0.0,0.04563162210755678,1.0938302363469734
2021-03-04,986.5983276367188,992.9917014235936,978.3685522339485,988.4800650989264,21435754,932.586801147461,905.7389196777344,1,-0.01192051806174299,-0.01192051806174299,1.0818695376446092,1.0444497112105635,0.0,0.0,-0.01192051806174299,1.0807912132581188
2021-03-05,987.890625,1002.9672532884404,976.260120871694,977.5977682721734,25511666,938.3669128417969,907.8686853027343,1,0.0013098515647971265,0.0013098515647971265,1.0832866261513994,1.0458177852991446,0.0,0.0,0.0013098515647971265,1.0822068893200238
2021-03-08,993.51318359375,1012.013147323618,983.0389239902088,983.2656032217699,19506841,943.8001525878906,909.6547497558594,1,0.0056914788453934495,0.0056914788453934495,1.0894521290676378,1.051770035100311,0.0,0.0,0.0056914788453934495,1.0883662469369277
2021-03-09,993.4906005859375,1003.8061862317355,973.3356356542184,997.5488190712593,15154484,949.1257049560547,911.3573852539063,1,-2.2730456108122077e-05,-2.2730456108122077e-05,1.089427365323836,1.0517461278876923,0.0,0.0,-2.2730456108122077e-05,1.0883415078757221
2021-03-10,989.3642578125,1004.3955499162571,984.0591241137868,1000.7227465962088,11519358,953.8334503173828,913.0976525878906,1,-0.004153378774800598,-0.004153378774800598,1.084902560828013,1.0473778278436447,0.0,0.0,-0.004153378774800598,1.0838212133571767
2021-03-12,969.2546997070312,1000.4507422731192,963.0426687169551,995.2816157511662,16864952,955.6902557373047,914.3863061523438,1,-0.020325737408314448,-0.020325737408314448,1.0628511162630148,1.026089101147604,0.0,0.0,-0.020325737408314448,1.061791747976918
2021-03-15,956.2412109375,974.3784296324053,943.3637304935054,970.3656071763525,16698099,957.2160552978515,915.5071887207031,1,-0.013426283899850788,-0.013426283899850788,1.0485809754327942,1.0123125375690536,0.0,0.0,-0.013426283899850788,1.0475358305260611
2021-03-16,952.4777221679688,963.9948870594851,950.165234013291,958.553685547253,13873801,958.7577239990235,916.5328503417969,1,-0.003935710704040418,-0.003935710704040418,1.04445406406373,1.0083283682791087,0.0,0.0,-0.003935710704040418,1.043413032544994
2021-03-17,931.9599609375,953.5659717866566,922.7779520359184,951.321487384943,19210236,958.6636352539062,917.1177758789063,1,-0.02154146050132022,-0.02154146050132022,1.021954998097258,0.9866075025614636,0.0,0.0,-0.02154146050132022,1.0209363919178631
2021-03-18,910.98876953125,945.3135252330827,907.3159659802869,939.9176595322679,20647480,956.9825408935546,917.5077270507812,1,-0.022502245037602453,-0.022502245037602453,0.998958716312671,0.9644066187828885,0.0,0.0,-0.022502245037602453,0.9979630310591217
2021-03-19,944.0438232421875,950.3238575711216,899.0634664039354,902.7816055754887,41787429,957.30673828125,919.0289880371093,1,0.036284809227610904,0.036284809227610904,1.0352057427603354,0.9993999289632709,0.0,0.0,0.036284809227610904,1.0341739292573102
2021-03-22,935.1566162109375,940.4164143959771,921.9164490477823,939.0561589834671,18572478,956.9009155273437,920.4006164550781,1,-0.009413977203651558,-0.009413977203651558,1.0254603394969004,0.9899916008146796,0.0,0.0,-0.009413977203651558,1.0244382394626712
2021-03-23,946.5377807617188,956.6039587366939,932.2547090305418,934.9526119187763,17421165,958.7010375976563,921.79537109375,1,0.012170329924943823,0.012170329924943823,1.0379405301535225,1.0020401252195175,0.0,0.0,0.012170329924943823,1.0369059908246605
2021-03-24,928.3097534179688,943.0235744782575,925.181100240172,943.0235744782575,16822814,959.2417541503906,923.1561169433594,1,-0.01925758032508873,-0.01925758032508873,1.0179523070214258,0.9827432570191407,0.0,0.0,-0.01925758032508873,1.0169376904167888
2021-03-25,902.9857177734375,931.3478510950881,900.0610755416413,931.3478510950881,22001648,957.6649444580078,923.4680773925782,1,-0.02727972592261363,-0.02727972592261363,0.9901828470835891,0.9559342903153619,0.0,0.0,-0.02727972592261363,0.9891959089418432
2021-03-26,904.4366455078125,913.0745041101142,894.937285828174,912.3036747318539,20180202,954.2710113525391,923.974560546875,1,0.0016068113878398016,0.0016068113878398016,0.9917738841583266,0.9574702964190672,0.0,0.0,0.0016068113878398016,0.9907853601931355
2021-03-30,920.1480712890625,929.035337372419,903.0310289019577,910.4899757979094,20441701,952.9900695800782,924.5975756835937,1,0.017371505079196048,0.017371505079196048,1.009002489224397,0.9741029965364904,0.0,0.0,0.017371505079196048,1.0079967931101237
2021-03-31,908.26806640625,929.4886608125947,906.4089968537622,915.0242469485529,16250796,950.7546478271485,925.1929284667968,1,-0.012910970802959443,-0.012910970802959443,0.9959752875459074,0.9615263811891325,0.0,0.0,-0.012910970802959443,0.9949825759448021
2021-04-01,916.7699584960938,920.465429845356,908.2907755247039,915.0242884490825,11723312,948.8468383789062,925.5366296386719,1,0.009360553788358095,0.009360553788358095,1.0052981677968562,0.9705268005991786,0.0,0.0,0.009360553788358095,1.0042961638654124
2021-04-05,903.5071411132812,918.1982951252521,889.677488179083,918.1756272004715,14875099,944.0971466064453,925.3207958984375,1,-0.01446689789505029,-0.01446689789505029,0.990754621849258,0.9564862884705004,0.0,0.0,-0.01446689789505029,0.9897671138063808
2021-04-06,899.74365234375,909.1070043382359,892.8061280725167,908.6762538058488,14009194,939.7544128417969,924.6823645019531,1,-0.004165422273136654,-0.004165422273136654,0.986627710480194,0.9525021191805556,0.0,0.0,-0.004165422273136654,0.9856443158253135
2021-04-07,908.1548461914062,928.1285275370888,903.8246126194147,906.8625944881165,24266353,935.7676239013672,923.8067907714844,1,0.009348433663017186,0.009348433663017186,0.9958511341817127,0.9614065220555983,0.0,0.0,0.009348433663017186,0.9948585463271364
2021-04-08,909.2883911132812,916.8380096725809,903.6885139889864,911.8502864734401,15369188,931.5563842773438,923.4055041503906,1,0.0012481846313201483,0.0012481846313201483,0.997094140262481,0.962606534900879,0.0,0.0,0.0012481846313201483,0.9961003134749995
2021-04-09,898.7234497070312,909.7418004729616,897.7938848658578,906.1597285641935,14037885,926.8180267333985,923.7777709960938,1,-0.01161891156810535,-0.01161891156810535,0.9855089916216953,0.9514220946969854,0.0,0.0,-0.01161891156810535,0.9845267120197715
2021-04-12,866.5751953125,889.3601188333347,861.632807894605,888.271878488836,20901482,920.6785736083984,923.9242297363281,0,-0.0357710198893898,-0.0357710198893898,0.9502563298812231,0.9173887560243746,1.0,0.0005,-0.0362710198893898,0.9488169240664668
2021-04-13,875.9385375976562,879.9287521472845,869.6131669055775,872.4017415275625,19411189,916.0127655029297,924.4252709960938,0,0.010804996884061113,0.0,0.9502563298812231,0.9273011386746907,0.0,0.0,0.0,0.9488169240664668
2021-04-15,881.6063842773438,889.1786704861084,867.4139846330557,873.4446120904353,19723716,912.2810241699219,925.3534436035156,0,0.006470598605276656,0.0,0.9502563298812231,0.9333013321292706,0.0,0.0,0.0,0.9488169240664668
2021-04-16,876.0745239257812,884.1456245317884,873.5126286216039,878.1149969863354,15656948,908.4608642578125,925.6871691894531,0,-0.006274750784724614,-0.0,0.9502563298812231,0.9274450988631079,0.0,0.0,-0.0,0.9488169240664668
2021-04-19,862.2901611328125,868.9556101628922,856.9850274045621,863.3330655330114,18478808,904.9773742675782,925.46861328125,0,-0.015734235406366537,-0.0,0.9502563298812231,0.9128524593511148,0.0,0.0,-0.0,0.9488169240664668
2021-04-20,862.0408325195312,870.1345408290238,857.1891171314771,866.2803940149797,17203668,902.5299774169922,925.2010876464843,0,-0.0002891470000697671,-0.0,0.9502563298812231,0.9125885108009871,0.0,0.0,-0.0,0.9488169240664668
